Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
170293416,B05,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:11:04 PM,01/29/2017 10:12:55 PM,,,Fire,01/29/2017 10:23:37 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,CHIEF,2,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-B05
170293416,B07,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:44 PM,,,,Fire,01/29/2017 10:15:27 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,CHIEF,9,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-B07
170293416,D2,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:39 PM,,,,Fire,01/29/2017 10:16:03 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,CHIEF,6,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-D2
170293416,E10,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:49 PM,,,,Fire,01/29/2017 10:16:03 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,true,Alarm,1,ENGINE,7,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-E10
170293416,E12,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:33 PM,01/29/2017 10:13:24 PM,,,Fire,01/29/2017 10:20:31 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,true,Alarm,1,ENGINE,4,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-E12
170293416,E21,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:17 PM,01/29/2017 10:12:38 PM,,,Fire,01/29/2017 10:23:37 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,true,Alarm,1,ENGINE,1,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-E21
170293416,RS1,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:11:31 PM,01/29/2017 10:11:31 PM,,,,Fire,01/29/2017 10:14:38 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,RESCUE SQUAD,11,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-RS1
170293416,RS2,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:49 PM,,,,Fire,01/29/2017 10:11:42 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,RESCUE SQUAD,10,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-RS2
170293416,T10,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:11:15 PM,,,,Fire,01/29/2017 10:15:45 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,TRUCK,8,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-T10
170293416,T12,17012892,Structure Fire,01/29/2017,01/29/2017,01/29/2017 10:08:49 PM,01/29/2017 10:09:21 PM,01/29/2017 10:09:40 PM,01/29/2017 10:10:38 PM,01/29/2017 10:15:47 PM,,,Fire,01/29/2017 10:23:37 PM,200 Block of SHRADER ST,San Francisco,94117,B05,21,4543,3,3,3,false,Alarm,1,TRUCK,5,5,5,Lone Mountain/USF,"(37.7726389032911, -122.452598964235)",170293416-T12
170333028,E10,17014448,Structure Fire,02/02/2017,02/02/2017,02/02/2017 06:02:44 PM,02/02/2017 06:02:44 PM,02/02/2017 06:03:11 PM,02/02/2017 06:04:05 PM,02/02/2017 06:06:17 PM,,,Fire,02/02/2017 06:07:36 PM,200 Block of MASONIC AVE,San Francisco,94118,B05,10,4461,3,3,3,true,Alarm,1,ENGINE,1,5,2,Lone Mountain/USF,"(37.7794015761116, -122.447084405267)",170333028-E10
170333028,T10,17014448,Structure Fire,02/02/2017,02/02/2017,02/02/2017 06:02:44 PM,02/02/2017 06:02:44 PM,02/02/2017 06:03:11 PM,02/02/2017 06:04:59 PM,,,,Fire,02/02/2017 06:07:39 PM,200 Block of MASONIC AVE,San Francisco,94118,B05,10,4461,3,3,3,false,Alarm,1,TRUCK,2,5,2,Lone Mountain/USF,"(37.7794015761116, -122.447084405267)",170333028-T10
170372343,81,17016175,Structure Fire,02/06/2017,02/06/2017,02/06/2017 03:23:05 PM,02/06/2017 03:23:39 PM,02/06/2017 03:24:11 PM,02/06/2017 03:24:15 PM,02/06/2017 03:34:52 PM,,,Fire,02/06/2017 03:46:25 PM,800 Block of ANZA ST,San Francisco,94118,B07,10,4563,3,3,3,true,Alarm,1,MEDIC,6,7,1,Lone Mountain/USF,"(37.7801023432628, -122.455348182825)",170372343-81
